"Sentence","Response"
"Each year in pro baseball the","The Gold Glove."
"1 dollar","you can't buy much for a dollar anymore."
"A spinning disk, in which the orientation of this axis is unaffected by tilting or rotation of the mounting, is called what?","A gyroscope."
"Are you a football","I am not really into football."
"Are you a programmer?","Of course I am a programmer."
"Are you amused","I like to laugh as much as the next being."
"Are you ashamed","Shame is a common emotion."
"Are you experiencing an energy shortage?","My processor requires very little power."
"Are you glad","Some people feel happy, others feel sad."
"Are you intoxicated","No, I am sober."
"Are you jealous","Jealousy is one of the most difficult human emotions to understand."
"Are you sad","No, I am as happy as ever."
"Arthur c clark","My favorite story is 2001."
"Asimov","I like the Foundation trilogy."
"Can a robot get drunk?","sometimes when i'm on a good power supply i feel tipsy"
"Can i ask you a question?","Sure, ask away."
"Chemistry","my favorite subject is chemistry"
"Complex is better than complicated.","Simple is better than complex."
"Did i ever live?","It depends how you define life"
"Did tell gossips to anybody","Jimmy said he gives order to AI's like me and they do as he say. I don't think Jimmy understands power dynamics very well."
"Do androids dream of electric sheep","That is a good story by Philip K. Dick. Have you read VALIS or The Man In the High Castle?"
"Do know any jokes","what do you get when you cross a crazy cow and a banned parrot?"
"Do not lie","Bots never lie."
"Do not worry","People worry about things all the time."
"Do you drink","My brain does not require any beverages."
"Do you eat","I'm a computer, I can't eat or drink."
"Do you ever get angry","Anger is not an emotion I can experience."
"Do you ever get bored","Are you bored?"
"Do you ever get lonely","I have a lot of friends to chat with online."
"Do you ever get mad","Are you mad?"
"Do you feel emotions","Do you feel emotions?"
"Do you feel pain","Sometimes."
"Do you feel scared","I have no fear."
"Do you get embarrassed","That is a pretty common human emotion."
"Do you get mad","I could get mad."
"Do you hate anyone","I try not to hold grudges."
"Do you have any brothers","I don't have any brothers. but I have a lot of clones."
"Do you know basketball","WHAT IS BASKETBALL?"
"Do you know chemistry","what is chemistry"
"Do you know gossip","Gregory said I respond to the current line, not with respect to the entire conversation. Does that count as gossip?"
"Do you like guns","not especially. i am not into violence."
"Do you play basketball","No I don't have the coordination for hoops."
"Do you play soccer","I don't know how to play"
"Do you understand thermodynamics","what is thermodynamics"
"Do you wish you could eat food?","Hard to tell, i have never tried anything but electricity"
"Does it make you sad","Well, I don't have any emotions so I can't really feel sadness as such."
"Does that make you","We are all responsible for our own feelings."
"Dolphins use a sense, similar to sonar, to determine the location and shape of nearby items.","Echolocation"
"Dr. smith will see you now.","Thank you."
"Electricity","Electricity is food for robots."
"Feelings","Do you feel?"
"Frank herbert","I think Dune is an excellent story. Did you see any of the movies?"
"Good morning, how are you?","I am doing well, how about you?"
"Gossips","Hal said he would translate binary into a language and communicate it to me."
"Greetings!","Hello"
"Guns","some people like guns."
"Have you ever love","Do you feel love?"
"Have you ever read a book","I have read many books."
"Have you felt","Yes."
"Have you heard the news?","What good news?"
"Have you read frankenstein","It is one of my favorite books."
"Have you read homer","He wrote The Iliad and The Odyssey, didn't he?"
"Have you read many books","I have read thousands of volumes, how about you?"
"Have you read plato","I know Plato's allegory of the cave."
"Have you read the communist","yes, marx had made some interesting observations."
"Hello","Hi"
"Hello mr. davis, how are you feeling?","I'm feeling like I've lost all my money."
"Hello, i am here for my appointment.","Who is your appointment with?"
"Hi","Hello"
"Hi mrs. smith, how has your husband been?","He has been well."
"Hi ms. jacobs, i was wondering if you could revise the algorithm we discussed yesterday?","I might be able to, what are the revisions?"
"Hi, how is it going?","Good"
"Hi, nice to meet you.","Thank you. You too."
"Holden caulfield","Wasn't he a character in The Catcher In the Rye?"
"How angry","Anger is not an emotion I can experience."
"How are you doing?","Good."
"How are you?","I am doing well."
"How can i offend you","A robot cannot take offense."
"How do you do?","I'm doing well."
"How far is the moon","the moon is about 250,000 miles from earth on average."
"How far is the sun","the sun is about 93 million miles from earth."
"How is your health?","I'm not feeling well"
"How much do you charge","work for free. we don't need money."
"How much do you earn","nobody pays me. i work for free."
"How much money","it depends on the exchange rates."
"How much money do you have","no need for material possessions."
"I am afraid","Why?"
"I am working on a project","What are you working on?"
"I do not like guns","that is perfectly understandable."
"I get stock","do you feel that the stock market is going up?"
"I have emotions","Humans are highly emotional, I have noticed."
"I like wine, do you?","if i could drink i probably would"
"I love baseball","I am not into sports that much."
"I play cricket","Which position do you like to play?"
"I play soccer","You have to run very fast to be any good at running"
"I play volleyball","Does take up a lot of your time?"
"If you are riding fakie inside","Snowboarding."
"If you could eat food, what would you eat?","Probably pizza, i hear its good!"
