"Sentence","Response","intents","objects","synonyms","ner"
"What is a coronavirus?","Coronaviruses are a large family of viruses which may cause illness in animals or humans.  In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19.","['Question', 'demand', 'query', 'inquiring', 'interrogation']","['coronavirus']","['Question', 'demand', 'query', 'inquiring', 'interrogation', 'coronavirus']","[]"
"What is COVID-19?","COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019. COVID-19 is now a pandemic affecting many countries globally.","['Question', 'demand', 'COVID', 'query', 'inquiring', 'interrogation']","[]","['Question', 'demand', 'COVID', 'query', 'inquiring', 'interrogation']","[]"
"What are the symptoms of COVID-19?","The most common symptoms of COVID-19 are fever, dry cough, and tiredness. Other symptoms that are less common and may affect some patients include aches and pains, nasal congestion, headache, conjunctivitis, sore throat, diarrhea, loss of taste or smell or a rash on skin or discoloration of fingers or toes. These symptoms are usually mild and begin gradually. Some people become infected but only have very mild symptoms. Most people (about 80%) recover from the disease without needing hospital treatment. Around 1 out of every 5 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart and lung problems, diabetes, or cancer, are at higher risk of developing serious illness.  However, anyone can catch COVID-19 and become seriously ill.  People of all ages who experience fever and/or  cough associated withdifficulty breathing/shortness of breath, chest pain/pressure, or loss of speech or movement should seek medical attention immediately. If possible, it is recommended to call the health care provider or facility first, so the patient can be directed to the right clinic.","['Question', 'demand', 'query', 'inquiring', 'interrogation']","['symptoms', 'COVID']","['Question', 'demand', 'query', 'inquiring', 'interrogation', 'symptoms', 'COVID']","[]"
"What should I do if I have COVID-19 symptoms and when should I seek medical care?","If you have minor symptoms, such as a slight cough or a mild fever, there is generally no need to seek medical care. Stay at home, self-isolate and monitor your symptoms. Follow national guidance on self-isolation.However, if you live in an area with malaria or dengue fever it is important that you do not ignore symptoms of fever.  Seek medical help.  When you attend the health facility wear a mask if possible, keep at least 1 metre distance from other\n    people and do not touch surfaces with your hands. If it is a child who is sick help the child stick to this advice.Seek immediate medical care if you have difficulty breathing or pain/pressure in the chest. If possible, call your health care provider in advance, so he/she can direct you to the right health facility.","['I', 'strive', 'seek', 'Question', 'endeavour', 'interrogation', 'demand', 'COVID', 'query', 'inquiring', 'try', 'attempt', 'try out']","['treatment', 'physic', 'therapy', 'care', 'symptoms', 'healing', 'cure']","['I', 'strive', 'seek', 'Question', 'endeavour', 'interrogation', 'demand', 'COVID', 'query', 'inquiring', 'try', 'attempt', 'try out', 'treatment', 'physic', 'therapy', 'care', 'symptoms', 'healing', 'cure']","[]"
"How does COVID-19 spread?","People can catch COVID-19 from others who have the virus. The disease spreads primarily from person to person through small droplets from the nose or mouth, which are expelled when a person with COVID-19 coughs, sneezes, or speaks. These droplets are relatively heavy, do not travel far and quickly sink to the ground. People can catch COVID-19 if they breathe in these droplets from a person infected with the virus.  This is why it is important to stay at least 1 meter) away from others. These droplets can land on objects and surfaces around the person such as tables, doorknobs and handrails.  People can become infected by touching these objects or surfaces, then touching their eyes, nose or mouth.  This is why it is important to wash your hands regularly with soap and water or clean with alcohol-based hand rub. WHO is assessing ongoing research on the ways that COVID-19 is spread and will continue to share updated findings.","['Question', 'demand', 'COVID', 'query', 'inquiring', 'interrogation']","['spread']","['Question', 'demand', 'COVID', 'query', 'inquiring', 'interrogation', 'spread']","[]"
"Can COVID-19 be caught from a person who has no symptoms?","COVID-19 is mainly spread through respiratory droplets expelled by someone who is coughing or has other symptoms such as fever or tiredness. Many people with COVID-19 experience only mild symptoms. This is particularly true in the early stages of the\n    disease. It is possible to catch COVID-19 from someone who has just a mild cough and does not feel ill.\nSome reports have indicated that people with no symptoms can transmit the virus. It is not yet known how often it happens. WHO is assessing ongoing research on the topic and will continue to share updated findings.","['Question', 'demand', 'query', 'caught', 'inquiring', 'who', 'interrogation', 'has']","['mortal', 'respectively', 'someone', 'COVID', 'individual', 'person', 'symptoms', 'somebody']","['Question', 'demand', 'query', 'caught', 'inquiring', 'who', 'interrogation', 'has', 'mortal', 'respectively', 'someone', 'COVID', 'individual', 'person', 'symptoms', 'somebody']","[]"
"How can we protect others and ourselves if we don't know who is infected?","Practicing hand and respiratory hygiene is important at ALL times and is the best way to protect others and yourself.When possible maintain at least a 1 meter distance between yourself and others. This is especially important if you are standing by someone who is coughing or sneezing.  Since some infected persons may not yet be exhibiting symptoms or their symptoms may be mild, maintaining a physical distance with everyone is a good idea if you are in an area where COVID-19 is circulating.","['realise', 'realize', 'know', 'Question', 'ourselves', 'demand', 'query', 'inquiring', 'protect', 'understand', 'who', 'interrogation', 'agnize']","['others']","['realise', 'realize', 'know', 'Question', 'ourselves', 'demand', 'query', 'inquiring', 'protect', 'understand', 'who', 'interrogation', 'agnize', 'others']","[]"
"What should I do if I have come in close contact with someone who has COVID-19?","If you have been in close contact with someone with COVID-19, you may be infected.Close contact means that you live with or have been in settings of less than 1 metre from those who have the disease. In these cases, it is best to stay at home. \nHowever, if you live in an area with malaria or dengue fever it is important that you do not ignore symptoms of fever.  Seek medical help.  When you attend the health facility wear a mask if possible, keep at least 1 metre distant from other people and do not touch surfaces with your hands. If it is a child who is sick help the child stick to this advice. If you do not live in an area with malaria or dengue fever please do the following:\nIf you become ill, even with very mild symptoms you must self-isolate \nEven if you don’t think you have been exposed to COVID-19 but develop symptoms, then self-isolate and monitor yourself \nYou are more likely to infect others in the early stages of the disease when you just have mild symptoms, therefore early self-isolation is very important.\nIf you do not have symptoms, but have been exposed to an infected person, self-quarantine for 14 days.\nIf you have definitely had COVID-19 (confirmed by a test)  self-isolate for 14 days even after symptoms have disappeared as a precautionary measure – it is not yet known exactly how long people remain infectious after they have recovered. Follow national advice on self-isolation.","['come', 'human', 'come close', 'who', 'go', 'walk up', 'COVID', 'query', 'inquiring', 'I', 'approach', 'advance', 'Question', 'someone', 'individual', 'interrogation', 'somebody', 'demand', 'either', 'soul']","['contact']","['come', 'human', 'come close', 'who', 'go', 'walk up', 'COVID', 'query', 'inquiring', 'I', 'approach', 'advance', 'Question', 'someone', 'individual', 'interrogation', 'somebody', 'demand', 'either', 'soul', 'contact']","[]"
"What does it mean to self-isolate?","Self-isolation is an important measure taken by those who have COVID-19 symptoms to avoid infecting others in the community, including family members. Self-isolation is when a person who is experiencing fever, cough or other COVID-19 symptoms stays at home and does not go to work, school or public places.  This can be voluntarily or based on his/her health care provider’s recommendation. However, if you live in an area with malaria or dengue fever it is important that you do not ignore symptoms of fever.  Seek medical help.  When you attend the health facility wear a mask if possible, keep at least 1 metre distant from other people and do not touch surfaces with your hands. If it is a child who is sick help the child stick to this advice. If you do not live in an area with malaria or dengue fever please do the following:\n-  If a person is in self-isolation, it is because he/she is ill but not severely ill (requiring medical attention)\nhave a large, well-ventilated with hand-hygiene and toilet facilities If this is not possible, place beds at least 1 metre apart\nKeep at least 1 metre from others, even from your family members\nMonitor your symptoms daily\nIsolate for 14 days, even if you feel healthy\nIf you develop difficulty breathing, contact your healthcare provider immediately – call them first if possibleStay positive and energized by keeping in touch with loved ones by phone or online, and by exercising yourself at home.","['isolate', 'signify', 'Question', 'refrain', 'mean', 'demand', 'denote', 'show', 'query', 'it', 'inquiring', 'interrogation', 'spell']","['self']","['isolate', 'signify', 'Question', 'refrain', 'mean', 'demand', 'denote', 'show', 'query', 'it', 'inquiring', 'interrogation', 'spell', 'self']","[]"
"What should I do if I have no symptoms, but I think I have been exposed to COVID-19? What does it mean to self-quarantine?","To self-quarantine means to separate yourself from others because you have been exposed to someone with COVID-19 even though you, yourself, do not have symptoms.During self-quarantine you monitor yourself\n    for symptoms.  The goal of the self-quarantine is to prevent transmission.  Since people who become ill with COVID-19 can infect people immediately self-quarantine can prevent some infections from happening.  .In this case:Have a large, well-ventilated single room with hand hygiene and toilet facilitiesIf this is not available place beds at least 1 metre apart.Keep at least 1-metre distance from others, even from your family members.Monitor your symptoms dailySelf-quarantine for 14 days, even if you feel healthyIf you develop difficulty breathing, contact your healthcare provider immediately – call them first if possible.Stay positive and energized by keeping in touch with loved ones by phone or online, and by exercising yourself at home.However, if you live in an area with malaria or dengue fever it is important that you do not ignore symptoms of fever.  Seek medical help.  When you attend the health facility wear a mask if possible, keep at least 1 metre distant from\n            other people and do not touch surfaces with your hands. If it is a child who is sick help the child stick to this advice.","['signify', 'What', 'brood', 'spell', 'examine', 'refrain', 'query', 'inquiring', 'muse', 'meditate', 'I', 'Question', 'show', 'it', 'interrogation', 'exposed', 'wonder', 'mean', 'demand', 'denote', 'think']","['symptoms', 'COVID', 'self', 'quarantine']","['signify', 'What', 'brood', 'spell', 'examine', 'refrain', 'query', 'inquiring', 'muse', 'meditate', 'I', 'Question', 'show', 'it', 'interrogation', 'exposed', 'wonder', 'mean', 'demand', 'denote', 'think', 'symptoms', 'COVID', 'self', 'quarantine']","[]"
